TimeStamp,Ch4,C2H6,Latitude,Longitude
08/18/2023 02:26:12,2.19888,23.0255,43.0058784485,-84.233833313
08/18/2023 02:26:13,2.19742,22.9325,43.0058784485,-84.233833313
08/18/2023 02:26:14,2.19604,23.2044,43.0058784485,-84.2338409424
08/18/2023 02:26:15,2.19235,23.1622,43.0058784485,-84.2338485718
08/18/2023 02:26:16,2.1973,23.3205,43.0058784485,-84.2338562012
08/18/2023 02:26:17,2.19422,22.885,43.0058746338,-84.2338638306
08/18/2023 02:26:18,2.19851,23.2927,43.0058784485,-84.2338790894
08/18/2023 02:26:19,2.19532,23.2124,43.0058822632,-84.2339019775
08/18/2023 02:26:20,2.1951,23.1259,43.0058898926,-84.2339401245
08/18/2023 02:26:21,2.19521,22.5445,43.0059089661,-84.2339782715
08/18/2023 02:26:22,2.19454,23.025,43.0059432983,-84.2340164185
08/18/2023 02:26:23,2.19419,23.024,43.0059890747,-84.2340698242
08/18/2023 02:26:24,2.19137,23.0329,43.0060462952,-84.23412323
08/18/2023 02:26:25,2.19309,23.0672,43.0061073303,-84.2341842651
08/18/2023 02:26:26,2.19651,23.2507,43.0061759949,-84.2342681885
08/18/2023 02:26:27,2.19166,23.1351,43.0062522888,-84.2343521118
08/18/2023 02:26:28,2.1917,22.9791,43.0063362122,-84.2344436646
08/18/2023 02:26:29,2.19048,23.0926,43.0064201355,-84.2345428467
08/18/2023 02:26:30,2.19666,23.2901,43.0065040588,-84.2346420288
08/18/2023 02:26:31,2.19488,22.9173,43.0065803528,-84.2347412109
08/18/2023 02:26:32,2.19436,23.0262,43.0066566467,-84.2348403931
08/18/2023 02:26:33,2.19272,22.6263,43.0067329407,-84.2349395752
08/18/2023 02:26:34,2.19447,22.7011,43.0068092346,-84.2350463867
08/18/2023 02:26:35,2.19049,23.4131,43.0068817139,-84.2351455688
08/18/2023 02:26:36,2.19784,22.8466,43.0069541931,-84.2352523804
08/18/2023 02:26:37,2.19114,23.1064,43.0070266724,-84.2353515625
08/18/2023 02:26:38,2.18953,23.2163,43.0070953369,-84.2354507446
08/18/2023 02:26:39,2.19239,23.2096,43.0071601868,-84.2355499268
08/18/2023 02:26:40,2.18862,23.083,43.007232666,-84.2356491089
08/18/2023 02:26:41,2.18919,23.2066,43.0073051453,-84.2357559204
08/18/2023 02:26:42,2.19087,23.3673,43.0073776245,-84.2358627319
08/18/2023 02:26:43,2.18733,23.2723,43.0074539185,-84.2359771729
08/18/2023 02:26:44,2.19069,22.8222,43.0075340271,-84.2360916138
08/18/2023 02:26:45,2.18853,22.7629,43.0076141357,-84.2362060547
08/18/2023 02:26:46,2.19481,23.1421,43.0076942444,-84.2363204956
08/18/2023 02:26:47,2.18813,23.2348,43.007774353,-84.2364349365
08/18/2023 02:26:48,2.18922,23.2047,43.0078544617,-84.2365570068
08/18/2023 02:26:49,2.18599,22.82,43.0079345703,-84.2366714478
08/18/2023 02:26:50,2.19022,22.9752,43.008014679,-84.2367935181
08/18/2023 02:26:51,2.18529,23.1276,43.0080947876,-84.236907959
08/18/2023 02:26:52,2.19167,24.2302,43.0081787109,-84.2370300293
08/18/2023 02:26:53,2.19222,23.2576,43.0082588196,-84.2371520996
08/18/2023 02:26:54,2.18731,23.5629,43.0083389282,-84.2372741699
08/18/2023 02:26:55,2.18784,23.2754,43.0084228516,-84.2373962402
08/18/2023 02:26:56,2.18814,23.1609,43.0085067749,-84.2375183105
08/18/2023 02:26:57,2.18716,22.805,43.0085906982,-84.2376403809
08/18/2023 02:26:58,2.18727,23.1579,43.0085906982,-84.2376403809
08/18/2023 02:26:59,2.18852,23.3978,43.0086746216,-84.2377624512
08/18/2023 02:27:00,2.18869,23.2421,43.0087623596,-84.2378845215
08/18/2023 02:27:01,2.18678,23.4292,43.0088500977,-84.2380142212
08/18/2023 02:27:02,2.19056,23.1076,43.008934021,-84.2381439209
08/18/2023 02:27:03,2.18766,23.1983,43.009021759,-84.2382659912
08/18/2023 02:27:04,2.18919,22.83,43.0091094971,-84.2383956909
08/18/2023 02:27:05,2.18202,23.3411,43.0091972351,-84.2385253906
08/18/2023 02:27:06,2.18805,23.4131,43.0092811584,-84.2386474609
08/18/2023 02:27:07,2.18756,23.2359,43.0093688965,-84.2387695312
08/18/2023 02:27:08,2.18738,23.3636,43.0094490051,-84.2388916016
08/18/2023 02:27:09,2.18489,23.0255,43.0095329285,-84.2390060425
08/18/2023 02:27:09,2.18942,23.1942,43.0096130371,-84.2391281128
08/18/2023 02:27:10,2.18747,23.1145,43.0096969604,-84.2392425537
08/18/2023 02:27:11,2.18616,23.4232,43.0097770691,-84.239364624
08/18/2023 02:27:12,2.18152,22.9298,43.0098609924,-84.2394866943
08/18/2023 02:27:13,2.18684,23.2793,43.0099449158,-84.2396087646
08/18/2023 02:27:14,2.18532,22.9654,43.0100326538,-84.2397384644
08/18/2023 02:27:15,2.1847,22.8959,43.0101203918,-84.2398605347
08/18/2023 02:27:16,2.18631,23.4283,43.0102081299,-84.2399978638
08/18/2023 02:27:17,2.18558,22.785,43.0102958679,-84.2401275635
08/18/2023 02:27:18,2.18616,22.8386,43.0103874207,-84.2402572632
08/18/2023 02:27:19,2.18527,22.6785,43.0104789734,-84.2403945923
08/18/2023 02:27:20,2.18516,23.0311,43.0105705261,-84.240524292
